doc_id,gov_id,fiscal_year,doc_type,department_printed,division,fund,org,sbcl,account,line_description,line_kind,pay_range,amount,amount_kind,units,flags,source_page
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Budgetary Control Unit (1Bcu=1Du),,,,,City Attorney (B)(C)(E)(P)(Y),position,EOE,169436.0,budget,1.0,B|C|E|P|Y,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Budgetary Control Unit (1Bcu=1Du),,,,,City Attorney (B)(C)(E)(P)(Y),position,EOE,169436.0,adopted,1.0,B|C|E|P|Y,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Budgetary Control Unit (1Bcu=1Du),,,,,Deputy City Attorney (A)(Y),position,1OX,665967.0,budget,4.0,A|Y,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Budgetary Control Unit (1Bcu=1Du),,,,,Deputy City Attorney (A)(Y),position,1OX,740492.0,adopted,4.0,A|Y,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Budgetary Control Unit (1Bcu=1Du),,,,,Business Finance Manager (Y),position,1IX,112456.0,budget,1.0,Y,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Budgetary Control Unit (1Bcu=1Du),,,,,Business Finance Manager (Y),position,1IX,112456.0,adopted,1.0,Y,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Budgetary Control Unit (1Bcu=1Du),,,,,City Attorney Human Resources Admin.,position,1IX,103245.0,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Budgetary Control Unit (1Bcu=1Du),,,,,City Attorney Human Resources Admin.,position,1IX,115360.0,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Legal Division,,,,,Asst. City Attorney V (A)(Y),position,2TX,4075916.0,budget,36.0,A|Y,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Legal Division,,,,,Asst. City Attorney V (A)(Y),position,2TX,3856916.0,adopted,36.0,A|Y,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Legal Division,,,,,Paralegal,position,2FN,129142.0,budget,2.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Legal Division,,,,,Paralegal,position,2FN,129142.0,adopted,2.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Legal Division,,,,,Paralegal Lead,position,2IX,68244.0,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Legal Division,,,,,Paralegal Lead,position,2IX,68244.0,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Legal Administrative Specialist-Senior,position,2GX,151089.0,budget,2.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Legal Administrative Specialist-Senior,position,2GX,151089.0,adopted,2.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Investigator/Adjuster (Y),position,2IX,151197.0,budget,2.0,Y,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Investigator/Adjuster (Y),position,2IX,151928.0,adopted,2.0,Y,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Legal Office Assistant - Lead,position,5JN,136957.0,budget,2.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Legal Office Assistant - Lead,position,5JN,136957.0,adopted,2.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Business Systems Coordinator,position,2LX,90887.0,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Business Systems Coordinator,position,2LX,91805.0,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Legal Office Assistant - Senior,position,5IN,64744.0,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Legal Office Assistant - Senior,position,5IN,64744.0,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Legal Office Assistant 2,position,6MN,225699.0,budget,4.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Legal Office Assistant 2,position,6MN,169274.0,adopted,3.0,,47
