doc_id,gov_id,fiscal_year,doc_type,department_printed,division,fund,org,sbcl,account,line_description,line_kind,pay_range,amount,amount_kind,units,flags,source_page
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,Overtime Compensated*,subtotal,,11563.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,Overtime Compensated*,subtotal,,65000.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,Overtime Compensated*,subtotal,,30000.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,All Other Salaries & Wages,subtotal,,3093972.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,All Other Salaries & Wages,subtotal,,11733517.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,All Other Salaries & Wages,subtotal,,10100279.0,adopted,,,24
city-2026-adopted-detailed,city,2024,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006000,NET SALARIES & WAGES TOTAL*,total,,3105535.0,actual,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006000,NET SALARIES & WAGES TOTAL*,total,,11798517.0,budget,,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),0001,1510,R999,006000,NET SALARIES & WAGES TOTAL*,total,,10130279.0,adopted,,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,TOTAL NUMBER OF POSITIONS AUTHORIZED,fte,,,budget,215.0,,24
city-2026-adopted-detailed,city,2026,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,TOTAL NUMBER OF POSITIONS AUTHORIZED,fte,,,adopted,185.0,,24
city-2026-adopted-detailed,city,2025,adopted,Department Of Administration,(Summary 1 Bcu=8 Du),,,,,O&M FTE'S,fte,,,budget,118.42,,24
