doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Personnel Costs,category,1047856.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Personnel Costs,category,1073459.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Personnel Costs,category,1006370.0,budget,,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Personnel Costs,category,1052530.0,adopted,,,,,,,,
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Operations Costs,category,119660.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Operations Costs,category,101461.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Operations Costs,category,192393.0,budget,,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Operations Costs,category,190486.0,adopted,,,,,,,,
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Debt & Depreciation,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Debt & Depreciation,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Debt & Depreciation,category,0.0,budget,,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Debt & Depreciation,category,0.0,adopted,,,,,,,,
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Interdepartmental Charges,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Interdepartmental Charges,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Interdepartmental Charges,category,0.0,budget,,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Interdepartmental Charges,category,0.0,adopted,,,,,,,,
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Total Expenditures,category,1167516.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Total Expenditures,category,1174920.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Total Expenditures,category,1198763.0,budget,,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Total Expenditures,category,1243016.0,adopted,,,,,,,,
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Tax Levy,category,1167516.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Tax Levy,category,1174920.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Tax Levy,category,1198763.0,budget,,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Tax Levy,category,1243016.0,adopted,,,,,,,,
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Full Time Pos (FTE),fte,,actual,10.0,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Full Time Pos (FTE),fte,,actual,5.0,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Full Time Pos (FTE),fte,,budget,4.0,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Full Time Pos (FTE),fte,,adopted,4.0,,,,,,,
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Overtime $,fte,292.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Overtime $,fte,0.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Overtime $,fte,0.0,budget,,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Overtime $,fte,0.0,adopted,,,,,,,,
county-2026-adopted-operating,78,county,2023,adopted,County Board of Supervisors,Seasonal/Hourly/Pool,fte,45859.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2024,adopted,County Board of Supervisors,Seasonal/Hourly/Pool,fte,53361.0,actual,,,,,,,,
county-2026-adopted-operating,78,county,2025,adopted,County Board of Supervisors,Seasonal/Hourly/Pool,fte,56308.0,budget,,,,,,,,
county-2026-adopted-operating,78,county,2026,adopted,County Board of Supervisors,Seasonal/Hourly/Pool,fte,56854.0,adopted,,,,,,,,
county-2026-adopted-operating,80,county,2023,adopted,County Board of Supervisors,Expenditures,program,1167516.0,actual,,County Board,,,,,,
county-2026-adopted-operating,80,county,2024,adopted,County Board of Supervisors,Expenditures,program,1174920.0,actual,,County Board,,,,,,
county-2026-adopted-operating,80,county,2025,adopted,County Board of Supervisors,Expenditures,program,1198763.0,budget,,County Board,,,,,,
county-2026-adopted-operating,80,county,2026,adopted,County Board of Supervisors,Expenditures,program,1243016.0,adopted,,County Board,,,,,,
county-2026-adopted-operating,80,county,2023,adopted,County Board of Supervisors,Tax Levy,program,1167516.0,actual,,County Board,,,,,,
county-2026-adopted-operating,80,county,2024,adopted,County Board of Supervisors,Tax Levy,program,1174920.0,actual,,County Board,,,,,,
county-2026-adopted-operating,80,county,2025,adopted,County Board of Supervisors,Tax Levy,program,1198763.0,budget,,County Board,,,,,,
county-2026-adopted-operating,80,county,2026,adopted,County Board of Supervisors,Tax Levy,program,1243016.0,adopted,,County Board,,,,,,
county-2026-adopted-operating,80,county,2023,adopted,County Board of Supervisors,Full Time Pos (FTE),fte,10.0,actual,,County Board,,,,,,
county-2026-adopted-operating,80,county,2024,adopted,County Board of Supervisors,Full Time Pos (FTE),fte,5.0,actual,,County Board,,,,,,
county-2026-adopted-operating,80,county,2025,adopted,County Board of Supervisors,Full Time Pos (FTE),fte,4.0,budget,,County Board,,,,,,
county-2026-adopted-operating,80,county,2026,adopted,County Board of Supervisors,Full Time Pos (FTE),fte,4.0,adopted,,County Board,,,,,,
county-2026-adopted-operating,82,county,2023,adopted,County Executive - General Office,Personnel Costs,category,866287.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2024,adopted,County Executive - General Office,Personnel Costs,category,1091034.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2025,adopted,County Executive - General Office,Personnel Costs,category,874749.0,budget,,,,,,,,
county-2026-adopted-operating,82,county,2026,adopted,County Executive - General Office,Personnel Costs,category,947960.0,adopted,,,,,,,,
county-2026-adopted-operating,82,county,2023,adopted,County Executive - General Office,Operations Costs,category,37801.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2024,adopted,County Executive - General Office,Operations Costs,category,60754.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2025,adopted,County Executive - General Office,Operations Costs,category,58544.0,budget,,,,,,,,
county-2026-adopted-operating,82,county,2026,adopted,County Executive - General Office,Operations Costs,category,58682.0,adopted,,,,,,,,
county-2026-adopted-operating,82,county,2023,adopted,County Executive - General Office,Interdepartmental Charges,category,3908.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2024,adopted,County Executive - General Office,Interdepartmental Charges,category,38669.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2025,adopted,County Executive - General Office,Interdepartmental Charges,category,46845.0,budget,,,,,,,,
county-2026-adopted-operating,82,county,2026,adopted,County Executive - General Office,Interdepartmental Charges,category,39489.0,adopted,,,,,,,,
county-2026-adopted-operating,82,county,2023,adopted,County Executive - General Office,Total Expenditures,category,907995.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2024,adopted,County Executive - General Office,Total Expenditures,category,1190457.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2025,adopted,County Executive - General Office,Total Expenditures,category,980138.0,budget,,,,,,,,
county-2026-adopted-operating,82,county,2026,adopted,County Executive - General Office,Total Expenditures,category,1046131.0,adopted,,,,,,,,
county-2026-adopted-operating,82,county,2023,adopted,County Executive - General Office,Tax Levy,category,907995.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2024,adopted,County Executive - General Office,Tax Levy,category,1190457.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2025,adopted,County Executive - General Office,Tax Levy,category,980138.0,budget,,,,,,,,
county-2026-adopted-operating,82,county,2026,adopted,County Executive - General Office,Tax Levy,category,1046131.0,adopted,,,,,,,,
county-2026-adopted-operating,82,county,2023,adopted,County Executive - General Office,Full Time Pos (FTE),fte,,actual,9.0,,,,,,,
county-2026-adopted-operating,82,county,2024,adopted,County Executive - General Office,Full Time Pos (FTE),fte,,actual,9.0,,,,,,,
county-2026-adopted-operating,82,county,2025,adopted,County Executive - General Office,Full Time Pos (FTE),fte,,budget,8.0,,,,,,,
county-2026-adopted-operating,82,county,2026,adopted,County Executive - General Office,Full Time Pos (FTE),fte,,adopted,8.0,,,,,,,
county-2026-adopted-operating,82,county,2023,adopted,County Executive - General Office,Overtime $,fte,157.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2024,adopted,County Executive - General Office,Overtime $,fte,0.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2025,adopted,County Executive - General Office,Overtime $,fte,0.0,budget,,,,,,,,
county-2026-adopted-operating,82,county,2026,adopted,County Executive - General Office,Overtime $,fte,0.0,adopted,,,,,,,,
county-2026-adopted-operating,82,county,2023,adopted,County Executive - General Office,Seasonal/Hourly/Pool,fte,0.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2024,adopted,County Executive - General Office,Seasonal/Hourly/Pool,fte,0.0,actual,,,,,,,,
county-2026-adopted-operating,82,county,2025,adopted,County Executive - General Office,Seasonal/Hourly/Pool,fte,24363.0,budget,,,,,,,,
county-2026-adopted-operating,82,county,2026,adopted,County Executive - General Office,Seasonal/Hourly/Pool,fte,24599.0,adopted,,,,,,,,
county-2026-adopted-operating,83,county,2023,adopted,County Executive - General Office,Expenditures,program,907995.0,actual,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2024,adopted,County Executive - General Office,Expenditures,program,1190457.0,actual,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2025,adopted,County Executive - General Office,Expenditures,program,980138.0,budget,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2026,adopted,County Executive - General Office,Expenditures,program,1046131.0,adopted,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2023,adopted,County Executive - General Office,Tax Levy,program,907995.0,actual,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2024,adopted,County Executive - General Office,Tax Levy,program,1190457.0,actual,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2025,adopted,County Executive - General Office,Tax Levy,program,980138.0,budget,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2026,adopted,County Executive - General Office,Tax Levy,program,1046131.0,adopted,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2023,adopted,County Executive - General Office,Full Time Pos (FTE),fte,9.0,actual,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2024,adopted,County Executive - General Office,Full Time Pos (FTE),fte,9.0,actual,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2025,adopted,County Executive - General Office,Full Time Pos (FTE),fte,8.0,budget,,County Executive – General Office,,,,,,
county-2026-adopted-operating,83,county,2026,adopted,County Executive - General Office,Full Time Pos (FTE),fte,8.0,adopted,,County Executive – General Office,,,,,,
county-2026-adopted-operating,85,county,2023,adopted,County Executive - Office of Government Affairs,Personnel Costs,category,193158.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2024,adopted,County Executive - Office of Government Affairs,Personnel Costs,category,282603.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2025,adopted,County Executive - Office of Government Affairs,Personnel Costs,category,238979.0,budget,,,,,,,,
county-2026-adopted-operating,85,county,2026,adopted,County Executive - Office of Government Affairs,Personnel Costs,category,231106.0,adopted,,,,,,,,
county-2026-adopted-operating,85,county,2023,adopted,County Executive - Office of Government Affairs,Operations Costs,category,177510.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2024,adopted,County Executive - Office of Government Affairs,Operations Costs,category,189069.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2025,adopted,County Executive - Office of Government Affairs,Operations Costs,category,199214.0,budget,,,,,,,,
county-2026-adopted-operating,85,county,2026,adopted,County Executive - Office of Government Affairs,Operations Costs,category,204306.0,adopted,,,,,,,,
county-2026-adopted-operating,85,county,2023,adopted,County Executive - Office of Government Affairs,Debt & Depreciation,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2024,adopted,County Executive - Office of Government Affairs,Debt & Depreciation,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2025,adopted,County Executive - Office of Government Affairs,Debt & Depreciation,category,0.0,budget,,,,,,,,
county-2026-adopted-operating,85,county,2026,adopted,County Executive - Office of Government Affairs,Debt & Depreciation,category,0.0,adopted,,,,,,,,
county-2026-adopted-operating,85,county,2023,adopted,County Executive - Office of Government Affairs,Interdepartmental Charges,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2024,adopted,County Executive - Office of Government Affairs,Interdepartmental Charges,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2025,adopted,County Executive - Office of Government Affairs,Interdepartmental Charges,category,0.0,budget,,,,,,,,
county-2026-adopted-operating,85,county,2026,adopted,County Executive - Office of Government Affairs,Interdepartmental Charges,category,0.0,adopted,,,,,,,,
county-2026-adopted-operating,85,county,2023,adopted,County Executive - Office of Government Affairs,Total Expenditures,category,370668.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2024,adopted,County Executive - Office of Government Affairs,Total Expenditures,category,471672.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2025,adopted,County Executive - Office of Government Affairs,Total Expenditures,category,438193.0,budget,,,,,,,,
county-2026-adopted-operating,85,county,2026,adopted,County Executive - Office of Government Affairs,Total Expenditures,category,435412.0,adopted,,,,,,,,
county-2026-adopted-operating,85,county,2023,adopted,County Executive - Office of Government Affairs,Other Direct Revenue,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2024,adopted,County Executive - Office of Government Affairs,Other Direct Revenue,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2025,adopted,County Executive - Office of Government Affairs,Other Direct Revenue,category,0.0,budget,,,,,,,,
county-2026-adopted-operating,85,county,2026,adopted,County Executive - Office of Government Affairs,Other Direct Revenue,category,0.0,adopted,,,,,,,,
county-2026-adopted-operating,85,county,2023,adopted,County Executive - Office of Government Affairs,Total Revenues,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2024,adopted,County Executive - Office of Government Affairs,Total Revenues,category,0.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2025,adopted,County Executive - Office of Government Affairs,Total Revenues,category,0.0,budget,,,,,,,,
county-2026-adopted-operating,85,county,2026,adopted,County Executive - Office of Government Affairs,Total Revenues,category,0.0,adopted,,,,,,,,
county-2026-adopted-operating,85,county,2023,adopted,County Executive - Office of Government Affairs,Tax Levy,category,370668.0,actual,,,,,,,,
county-2026-adopted-operating,85,county,2024,adopted,County Executive - Office of Government Affairs,Tax Levy,category,471672.0,actual,,,,,,,,
