doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Acad Of Accelerated Learning,School Budget,school_summary,5766210.0,adopted,49.88,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Acad Of Accelerated Learning,School Budget,school_summary,6448022.0,proposed,58.15,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Acad Of Accelerated Learning,Enrollment,enrollment,,adopted,451.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Acad Of Accelerated Learning,Enrollment,enrollment,,proposed,401.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,ALBA,School Budget,school_summary,6748992.0,adopted,57.4,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,ALBA,School Budget,school_summary,8300359.0,proposed,67.7,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,ALBA,Enrollment,enrollment,,adopted,587.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,ALBA,Enrollment,enrollment,,proposed,576.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Alcott School,School Budget,school_summary,3682799.0,adopted,30.75,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Alcott School,School Budget,school_summary,4490929.0,proposed,36.05,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Alcott School,Enrollment,enrollment,,adopted,298.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Alcott School,Enrollment,enrollment,,proposed,342.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Allen-Field School,School Budget,school_summary,7447266.0,adopted,63.63,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Allen-Field School,School Budget,school_summary,7447259.0,proposed,62.28,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Allen-Field School,Enrollment,enrollment,,adopted,446.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Allen-Field School,Enrollment,enrollment,,proposed,455.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Alliance School,School Budget,school_summary,2387790.0,adopted,19.6,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Alliance School,School Budget,school_summary,2298045.0,proposed,18.15,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Alliance School,Enrollment,enrollment,,adopted,113.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Alliance School,Enrollment,enrollment,,proposed,101.0,,,,,,,
